"","penalty","mixture",".metric",".estimator","mean","n","std_err",".config","model"
"176",1e-04,1,"f_meas","binary",0.833724781091558,5,0.000282388180903058,"Preprocessor1_Model30","Logistic regression(Tuned)"
"177",1e-04,1,"kap","binary",0.00993096704705012,5,0.00444779361638373,"Preprocessor1_Model30","Logistic regression(Tuned)"
"178",1e-04,1,"roc_auc","binary",0.571259325248653,5,0.00723535182653377,"Preprocessor1_Model30","Logistic regression(Tuned)"
"179",1e-04,1,"sens","binary",0.998439694028042,5,0.000818045578662882,"Preprocessor1_Model30","Logistic regression(Tuned)"
"180",1e-04,1,"spec","binary",0.00857852095516569,5,0.0038293368885604,"Preprocessor1_Model30","Logistic regression(Tuned)"
"181",0.001,1,"accuracy","binary",0.715559350108879,5,0.000664865549034689,"Preprocessor1_Model31","Logistic regression(Tuned)"
"182",0.001,1,"f_meas","binary",0.833724781091558,5,0.000282388180903058,"Preprocessor1_Model31","Logistic regression(Tuned)"
"183",0.001,1,"kap","binary",0.00993096704705012,5,0.00444779361638373,"Preprocessor1_Model31","Logistic regression(Tuned)"
"184",0.001,1,"roc_auc","binary",0.571259325248653,5,0.00723535182653377,"Preprocessor1_Model31","Logistic regression(Tuned)"
"185",0.001,1,"sens","binary",0.998439694028042,5,0.000818045578662882,"Preprocessor1_Model31","Logistic regression(Tuned)"
"186",0.001,1,"spec","binary",0.00857852095516569,5,0.0038293368885604,"Preprocessor1_Model31","Logistic regression(Tuned)"
"187",0.01,1,"accuracy","binary",0.714779219427813,5,0.000229817644658614,"Preprocessor1_Model32","Logistic regression(Tuned)"
"188",0.01,1,"f_meas","binary",0.833539365929849,5,9.90686325943325e-05,"Preprocessor1_Model32","Logistic regression(Tuned)"
"189",0.01,1,"kap","binary",0.00311120815716726,5,0.00145436218638221,"Preprocessor1_Model32","Logistic regression(Tuned)"
"190",0.01,1,"roc_auc","binary",0.569122120501563,5,0.0078598653529693,"Preprocessor1_Model32","Logistic regression(Tuned)"
"191",0.01,1,"sens","binary",0.99984399375975,5,0.000156006240249607,"Preprocessor1_Model32","Logistic regression(Tuned)"
"192",0.01,1,"spec","binary",0.00233918128654971,5,0.00113663779626614,"Preprocessor1_Model32","Logistic regression(Tuned)"
"193",0.1,1,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model33","Logistic regression(Tuned)"
"194",0.1,1,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model33","Logistic regression(Tuned)"
"195",0.1,1,"kap","binary",0,5,0,"Preprocessor1_Model33","Logistic regression(Tuned)"
"196",0.1,1,"roc_auc","binary",0.5,5,0,"Preprocessor1_Model33","Logistic regression(Tuned)"
"197",0.1,1,"sens","binary",1,5,0,"Preprocessor1_Model33","Logistic regression(Tuned)"
"198",0.1,1,"spec","binary",0,5,0,"Preprocessor1_Model33","Logistic regression(Tuned)"
"199",1,1,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model34","Logistic regression(Tuned)"
"200",1,1,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model34","Logistic regression(Tuned)"
"201",1,1,"kap","binary",0,5,0,"Preprocessor1_Model34","Logistic regression(Tuned)"
"202",1,1,"roc_auc","binary",0.5,5,0,"Preprocessor1_Model34","Logistic regression(Tuned)"
"203",1,1,"sens","binary",1,5,0,"Preprocessor1_Model34","Logistic regression(Tuned)"
"204",1,1,"spec","binary",0,5,0,"Preprocessor1_Model34","Logistic regression(Tuned)"
"205",10,1,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model35","Logistic regression(Tuned)"
"206",10,1,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model35","Logistic regression(Tuned)"
"207",10,1,"kap","binary",0,5,0,"Preprocessor1_Model35","Logistic regression(Tuned)"
"208",10,1,"roc_auc","binary",0.5,5,0,"Preprocessor1_Model35","Logistic regression(Tuned)"
"209",10,1,"sens","binary",1,5,0,"Preprocessor1_Model35","Logistic regression(Tuned)"
"210",10,1,"spec","binary",0,5,0,"Preprocessor1_Model35","Logistic regression(Tuned)"
