,.metric,.estimator,mean,n,std_err,.config,model,penalty,mixture,mtry,trees,min_n
181,accuracy,binary,0.71555935,5,0.000664866,Preprocessor1_Model24,Logistic regression(Tuned),0.001,0.75,NA,NA,NA
182,f_meas,binary,0.833724781,5,0.000282388,Preprocessor1_Model24,Logistic regression(Tuned),0.001,0.75,NA,NA,NA
183,kap,binary,0.009930967,5,0.004447794,Preprocessor1_Model24,Logistic regression(Tuned),0.001,0.75,NA,NA,NA
184,roc_auc,binary,0.571272701,5,0.007236617,Preprocessor1_Model24,Logistic regression(Tuned),0.001,0.75,NA,NA,NA
185,sens,binary,0.998439694,5,0.000818046,Preprocessor1_Model24,Logistic regression(Tuned),0.001,0.75,NA,NA,NA
186,spec,binary,0.008578521,5,0.003829337,Preprocessor1_Model24,Logistic regression(Tuned),0.001,0.75,NA,NA,NA
187,accuracy,binary,0.715447805,5,0.000856633,Preprocessor1_Model25,Logistic regression(Tuned),0.01,0.75,NA,NA,NA
188,f_meas,binary,0.833843949,5,0.000407481,Preprocessor1_Model25,Logistic regression(Tuned),0.01,0.75,NA,NA,NA
189,kap,binary,0.006750396,5,0.004467328,Preprocessor1_Model25,Logistic regression(Tuned),0.01,0.75,NA,NA,NA
190,roc_auc,binary,0.569881959,5,0.007597603,Preprocessor1_Model25,Logistic regression(Tuned),0.01,0.75,NA,NA,NA
191,sens,binary,0.999687988,5,0.000191068,Preprocessor1_Model25,Logistic regression(Tuned),0.01,0.75,NA,NA,NA
192,spec,binary,0.005068226,5,0.00323845,Preprocessor1_Model25,Logistic regression(Tuned),0.01,0.75,NA,NA,NA
193,accuracy,binary,0.714222054,5,6.37E-05,Preprocessor1_Model26,Logistic regression(Tuned),0.1,0.75,NA,NA,NA
194,f_meas,binary,0.833290001,5,4.34E-05,Preprocessor1_Model26,Logistic regression(Tuned),0.1,0.75,NA,NA,NA
195,kap,binary,0,5,0,Preprocessor1_Model26,Logistic regression(Tuned),0.1,0.75,NA,NA,NA
196,roc_auc,binary,0.5,5,0,Preprocessor1_Model26,Logistic regression(Tuned),0.1,0.75,NA,NA,NA
197,sens,binary,1,5,0,Preprocessor1_Model26,Logistic regression(Tuned),0.1,0.75,NA,NA,NA
198,spec,binary,0,5,0,Preprocessor1_Model26,Logistic regression(Tuned),0.1,0.75,NA,NA,NA
199,accuracy,binary,0.714222054,5,6.37E-05,Preprocessor1_Model27,Logistic regression(Tuned),1,0.75,NA,NA,NA
200,f_meas,binary,0.833290001,5,4.34E-05,Preprocessor1_Model27,Logistic regression(Tuned),1,0.75,NA,NA,NA
201,kap,binary,0,5,0,Preprocessor1_Model27,Logistic regression(Tuned),1,0.75,NA,NA,NA
202,roc_auc,binary,0.5,5,0,Preprocessor1_Model27,Logistic regression(Tuned),1,0.75,NA,NA,NA
203,sens,binary,1,5,0,Preprocessor1_Model27,Logistic regression(Tuned),1,0.75,NA,NA,NA
204,spec,binary,0,5,0,Preprocessor1_Model27,Logistic regression(Tuned),1,0.75,NA,NA,NA
205,accuracy,binary,0.714222054,5,6.37E-05,Preprocessor1_Model28,Logistic regression(Tuned),10,0.75,NA,NA,NA
206,f_meas,binary,0.833290001,5,4.34E-05,Preprocessor1_Model28,Logistic regression(Tuned),10,0.75,NA,NA,NA
207,kap,binary,0,5,0,Preprocessor1_Model28,Logistic regression(Tuned),10,0.75,NA,NA,NA
208,roc_auc,binary,0.5,5,0,Preprocessor1_Model28,Logistic regression(Tuned),10,0.75,NA,NA,NA
209,sens,binary,1,5,0,Preprocessor1_Model28,Logistic regression(Tuned),10,0.75,NA,NA,NA
210,spec,binary,0,5,0,Preprocessor1_Model28,Logistic regression(Tuned),10,0.75,NA,NA,NA
211,accuracy,binary,0.71555935,5,0.000664866,Preprocessor1_Model29,Logistic regression(Tuned),1.00E-05,1,NA,NA,NA
212,f_meas,binary,0.833724781,5,0.000282388,Preprocessor1_Model29,Logistic regression(Tuned),1.00E-05,1,NA,NA,NA
213,kap,binary,0.009930967,5,0.004447794,Preprocessor1_Model29,Logistic regression(Tuned),1.00E-05,1,NA,NA,NA
214,roc_auc,binary,0.571259325,5,0.007235352,Preprocessor1_Model29,Logistic regression(Tuned),1.00E-05,1,NA,NA,NA
